,id,purpose_normalized,ClassPurpose
272,173061,para construcao,investment
273,173060,ditar dividas com juros mais baixos,debt
276,173056,entradaparacomprarcasa,debt
283,173049,nada a declarar,debt
285,173046,controle financeiro,investment
291,173039,nada a declarar,debt
292,173037,investimentos,investment
294,173034,nada a declarar,debt
297,173031,nada a declarar,debt
299,173028,nada a declarar,debt
300,173024,construção,investment
304,173017,para investir em um novo negócio,investment
308,173011,construir,investment
309,173010,negócios,debt
311,173008,investimento a minha empresa para compras de banheiros quimicos gradil som e iluminação,investment
314,173004,para comercio,investment
315,173003,refinanciamento,investment
318,172999,pagar contas e reformar casa,debt
324,172988,comprar o veículo é pagar parcelas mensais tendo fgts como entrada,debt
325,172986,pagamento de diversas coisas,debt
328,172983,casamento,debt
336,172971,construção,investment
338,172969,investimento,investment
342,172964,envestir,investment
343,172963,nada a declarar,debt
349,172955,trocar por outro mais novo,debt
352,172951,completar o restante do valor,investment
353,172950,investir no meu negócio,investment
357,172946,nada a declarar,debt
358,172945,saldar dividas,debt
362,172938,r2500000,investment
363,172936,nada a declarar,debt
364,172935,casa propria,debt
367,172930,para quitar dividas á juros,debt
368,172929,quitação de dívidas organização financeira,debt
369,172928,investimento,investment
370,172927,gasos variados,debt
372,172923,pagar contas,debt
373,172922,dar entrada na minha casa,debt
374,172921,tenho carro antigoquero melhorar pra mim e minha familia,investment
379,172911,comprar outro carro,debt
380,172910,quitar empréstimos com juros mais elevados,debt
382,172907,pagar dividas pessoais,debt
383,172906,casamento de filha e fomentar empresa própria,investment
384,172905,pagar divida,debt
390,172897,para investir em minha empresa,investment
391,172896,porque tenho 5 anos para pagar,debt
393,172894,reforma,debt
402,172882,investimentos,investment
406,172876,construir,investment
410,172871,pagar dividas,debt
414,172866,quitar divida,debt
415,172865,para comprar o carro,investment
416,172864,reforma,debt
417,172863,pagar dívidas,debt
419,172859,tratamento de saúde,debt
421,172857,investimento,investment
423,172855,quitar debitos,debt
424,172854,pagar dívidas,debt
434,172844,investimento,investment
443,172831,envestimento,investment
444,172827,para compra de apartamento,investment
455,172811,adiquirir novo veiculo,investment
457,172808,comprar um sítio,debt
461,172803,trocar de veículo,debt
462,172802,para quitar umas dividas,debt
467,172795,pagar contas,debt
469,172793,comprar meu carro,debt
470,172791,pagar dividas,debt
471,172790,nada a declarar,debt
473,172787,outros,investment
474,172786,reduzir juros,debt
475,172784,dividas,debt
476,172783,gastos com obra,debt
480,172778,quitar dividas,debt
483,172773,para investir na minha empresa,investment
485,172770,nada a declarar,debt
489,172766,pagar cheque especial,debt
496,172723,pgto cartão de credito,debt
500,172719,terminar obra na casa,debt
505,172714,nada a declarar,debt
506,172712,reforma imóvel,investment
511,172703,reforma da casa,investment
513,172697,quitar dividas cartão credito e quitar veículo,debt
515,172695,investimento,investment
517,172693,quitar cheque especial,investment
518,172692,dividas variadas,debt
520,172690,amplia o comercio,investment
521,172689,diversos,investment
523,172687,financiar um veiculo,investment
526,172683,acabar umas reforma contrucao casa,investment
528,172681,para construção e reforma,investment
532,172675,colocar em dia as parcelas do carrro,debt
533,172672,troca de veiculo,debt
534,172671,proprietária,investment
535,172670,para quitar dividas,debt
538,172666,para investimento,investment
544,172658,comprar veiculo,investment
545,172657,investimento,investment
547,172652,pagar quitaçao,debt
548,172651,nada a declarar,debt
549,172650,trocar de carro,debt
550,172649,comprar o carro,debt
551,172648,negocios,debt
552,172646,limpeza do nome pois trabalho autônomo e preciso do nome limpo para serviços maiores e emissão de notas,debt
554,172644,quitação da faculdade,debt
556,172641,colocar as finanças em dia e investimento em novo negócio,investment
557,172640,nada a declarar,debt
558,172639,quitacao cartao de credito,debt
560,172637,para arrumar,debt
562,172634,refinanciar o veículo,investment
566,172628,pagar dívidas,debt
570,172623,saldar as dividas,debt
572,172621,quitar dívidas,debt
575,172618,pra quitar meu veiculo,debt
576,172617,refinanciar dividas,investment
579,172614,pagar dividas diversas,debt
580,172613,investir em minhas empresa,investment
581,172610,pagar dividas diversas,debt
582,172609,pagar conta urgente,debt
583,172608,para quitar divida de cartao de credito,debt
585,172606,pagar dívidas,debt
587,172604,pagamentos de alguas dividas,debt
590,172599,quitar outrs dividas,investment
594,172595,para reformas pquena contruçao,investment
596,172592,compra de um carro,investment
601,172586,compra e venda de bolsas femininas,investment
605,172582,pagar dividas,debt
606,172581,nada a declarar,debt
608,172578,investir em meu negócio,investment
609,172576,quitar os dividas pessoais,debt
610,172575,reformar a casa,investment
612,172573,cartao de credito,debt
614,172568,gestão particular empresa,investment
617,172563,quitar dívidas,debt
619,172560,para investimento,investment
620,172558,pagar dividas,debt
621,172555,gastos variados,debt
623,172549,planejamento familiar centralização de dívidas,debt
624,172548,pagar docimentação do veículo,debt
626,172546,envestir numa loja,investment
627,172545,motivos de saúde,investment
631,172539,pagar dividas,debt
632,172538,nada a declarar,debt
633,172537,comprar o veiculo,investment
636,172532,quitar dividas,debt
637,172531,nada a declarar,debt
638,172530,para pagar minhas contas,debt
641,172525,para legalizar o carro na praça para rodar,debt
643,172523,para completar o dinheiro de um investimento,investment
644,172520,quitar imóvel,debt
646,172518,pagamento de dívidas,debt
648,172515,investimentos,investment
650,172513,nada a declarar,debt
652,172511,para pagamento de universidade,debt
653,172510,investimento,investment
661,172501,pagar divida,debt
663,172498,reformas em casa,investment
667,172494,limpar nome,debt
671,172486,gastos diversos,debt
678,172477,para investimeto pessoais,investment
679,172476,para compra do veiculo,investment
687,172415,nada a declarar,debt
693,172407,quitar o carro e outras dividas,debt
695,172405,quitar cheque especial,investment
699,172400,viagem,investment
707,172389,investimento em negocio,investment
708,172387,para quitação de dividas e construçao,investment
709,172386,investimento,investment
718,172375,para pagar contas,debt
720,172372,despesas diversas,debt
723,172369,ciurgia da minha mae,investment
726,172364,pagamento de dívidas,debt
728,172362,para meu comercio,investment
730,172360,reformar a casa,investment
732,172358,quitar dividas diversas,investment
734,172356,para montar empresa de panificaçao,investment
736,172352,casa,investment
738,172350,quitar dívidas,debt
740,172348,construção,investment
741,172347,para investimento,investment
742,172346,nada a declarar,debt
747,172341,para comprar um veiculo,investment
749,172338,pagamento de dívidas,debt
750,172337,investimento,investment
752,172334,quitar diversas dívidas e ficar somente com o empréstimo,investment
753,172333,abrir um negocio aumentar renda,investment
755,172331,para limpar meu nome,debt
761,172322,ivestimento,investment
764,172319,abrir um negócio,debt
767,172315,investimento,investment
769,172310,comprar veiculo,investment
771,172308,dívidas de cartão,debt
772,172307,investimento,investment
774,172305,trabalho,debt
776,172303,pagar outras dividas,debt
784,172289,nada a declarar,debt
786,172285,outro veiculo,investment
788,172283,investimento profissional sou corretor de seguros,investment
790,172280,quitar dívidas e sair restrições,debt
793,172276,nada a declarar,debt
794,172275,contrução,debt
796,172272,pagar divida,debt
800,172265,trocar de carro,debt
805,172257,pagar ums contas,debt
807,172255,nada a declarar,debt
808,172254,gastos extras,investment
812,172250,pagamentos diversos,investment
814,172248,pagar contas,debt
817,172242,fazer um investimento,investment
819,172240,cobrir cheque especial juros muiiito alto,debt
820,172239,reforma,debt
821,172237,construção de imóvel,investment
824,172234,pagar uma casa,debt
827,172229,nada a declarar,debt
828,172228,pagar umas dividas,debt
829,172226,pagar contas,debt
830,172225,nada a declarar,debt
834,172218,refinanciar divida,investment
835,172217,pagar minha divida e comprar um carro meu sonho,debt
836,172216,investimento,investment
839,172212,pagamento de dívidas,debt
842,172208,nada a declarar,debt
846,172199,nada a declarar,debt
848,172197,para compra de uma carro para a esposa,investment
849,172196,pagar dividas,debt
852,172191,investimentos em um negócio próprio,investment
856,172186,quitação de dividas,debt
863,172173,nada a declarar,debt
866,172170,trocar por outro,debt
873,172163,nada a declarar,debt
874,172162,investimento,investment
876,172160,reforma em imóvel,investment
877,172159,quitar as dividas,debt
886,172150,envestimento,investment
889,172147,investir em meu próprio negócio,investment
893,172143,pagar dividas,debt
895,172141,investimento de negocio,investment
896,172140,para abrir empresa franquia,investment
901,172135,investimento,investment
907,172129,pra limpar meu nome e casar,debt
911,172125,comprar o carro,debt
915,172121,gastos pessoais,debt
916,172120,para um novo investimento em negocios,investment
919,172117,montar um ateliê de maquiagem,investment
922,172114,nada a declarar,debt
924,172112,quitar dívidas de juros maiores,debt
925,172111,nada a declarar,debt
933,172103,pagar dividas,debt
935,172101,outras despesas,debt
937,172099,para quitaçao de debitos familiar,debt
938,172098,quitação de débitos,debt
940,172096,dividas,debt
943,172093,reforma casa,investment
944,172092,nada a declarar,debt
949,172087,quitar veículo e cheque especial,investment
952,172084,quitação de todas as dividas existentes,debt
953,172083,para pagar dívidas,debt
955,172081,pagar dividas,debt
956,172080,termino de obra,debt
959,172077,estudo da filha,investment
960,172051,para fazer umas quitação de contas como documento do veiculo e outras,investment
962,172049,7000,debt
965,172046,reformar casa,investment
969,172041,quitar dividas,debt
971,172038,cartóes e cheque especial,debt
973,172036,quitar dividas cheque especial,debt
974,172035,investimento,investment
975,172034,nada a declarar,debt
976,172033,construir,investment
979,172030,compra do veiculo para ir trabalhar,investment
984,172025,casamento,debt
987,172022,pagar algumas dividas,debt
988,172021,para troca de carrro,debt
998,172007,pagar outros emprestimos,debt
1000,172005,investimento,investment
1005,172000,pagar dividas,debt
1008,171997,investimento comercial,investment
1017,171988,quitar dívidas bancárias que estão com parcelas altas com o financiamento será possível quitar tais parcelas e ficar com uma parcela baixa que caberá em meu orçamento atual,debt
1024,171980,casamento,debt
1033,171966,para compra uma casa,investment
1036,171963,para quitar o veiculo pois o mesmo esta com parcelas muito alta,debt
1037,171962,nada a declarar,debt
1038,171961,para construção,investment
1040,171959,quitar dívidas,debt
1042,171957,regularizar divida,investment
1044,171955,quintar e infestir,investment
1049,171949,para financiar o carro,investment
1052,171946,nada a declarar,debt
1054,171944,para aquisição do veiculo,investment
1056,171941,pagar minhas dividas,debt
1058,171939,quitar dividas,debt
1062,171935,quitação de dívidas,debt
1064,171933,tratamento de saúde,debt
1065,171932,para pagar umas contas,debt
1066,171931,investimento,investment
1068,171928,reforma de casa,debt
1073,171923,quitas dividas,debt
1080,171914,capital giro,investment
1085,171908,pagar outras dívidas,debt
1087,171906,limpar meu nome e investir no meu negocio proprio,investment
1090,171903,crédito pessoal,debt
1092,171901,nada a declarar,debt
1094,171898,quitar divida de cartão de credito,debt
1097,171895,pagamento de impostos da minha empresa pois os juros sao o valor destas parcelas,debt
1098,171894,compra uma casa,investment
1099,171893,contas,debt
1103,171888,tratamento clinico de minha filha,debt
1104,171887,limpar o nome e quitar dividas,debt
1107,171884,pra quitar algumas dividas,debt
1109,171881,quero quitar meu cheque especial e cartão de crédito o valor que pago dos juros do cheque especial é quase o valor da parcela que simulei quero me reorganizar financeiramente,debt
1111,171879,quitar um empréstimo com juros maiores,debt
1113,171874,para construir,investment
1118,171868,variedades,debt
1119,171867,reforma,debt
1121,171865,refinanciar dividas,investment
1122,171864,pagamento cheque especial,investment
1124,171862,empreender,investment
1125,171860,para ampriar mes negosus,debt
1126,171859,pagar dívidas e investimentos,investment
1128,171857,pagamento de algumas dividas,debt
1130,171855,comprar moto pra trabalho,debt
1131,171854,reforma casa,investment
1132,171853,estou comprando esse veiculo,investment
1134,171850,nada a declarar,debt
1135,171848,pagar formatura,debt
1136,171847,investimento,investment
1138,171842,capital de giro,investment
1139,171841,comprar um ford ka,debt
1141,171776,entrada compra apto,investment
1146,171769,investimento em outro negocio,investment
1150,171763,pagamento de dívidas,debt
1151,171762,intermediaria de apartamento em construçao,investment
1152,171761,para comprar outro carro particular no valor de 500000,investment
1153,171760,quitar dividas,debt
1155,171758,investimento,investment
1158,171755,comprar um terreno,investment
1159,171754,pra compra o carro pra trabalho,investment
1160,171753,nada a declarar,debt
1163,171750,pagar cartao de credito,debt
1164,171749,sou funcionária do estado do rio e pensionistacom esses atrasos nos pagamentos quero antecipar algumas contase estou com duas parceas do carro em atraso quero acerta las para mudar a data de vencimento,debt
1165,171748,mobiliar apto,investment
1172,171737,nada a declarar,debt
1178,171726,dividas,debt
1179,171725,comprar,investment
1180,171723,investimento em negócio próprio,investment
1182,171721,gastos extras,investment
1183,171720,nada a declarar,debt
1188,171713,nada a declarar,debt
1192,171708,10000,investment
1194,171705,obra,debt
1196,171699,nada a declarar,debt
1198,171696,nada a declarar,debt
1202,171688,novo investimento,investment
1204,171685,saldar dívida,debt
1207,171682,para quitar um imovel,debt
1208,171681,investimentos,investment
1211,171674,compra veiculo,investment
1213,171672,cartao e cheque especial,investment
1214,171671,para honrar uns debitos pendentes,debt
1215,171670,nada a declarar,debt
1218,171667,trabalhar para mim mesmo vou abrir um buffet preciso comprar cadeiras e mesas forros talheres pratos etc,debt
1225,171660,quitar dívidas,debt
1227,171658,montar meu escritório,investment
1232,171653,nada a declarar,debt
1236,171648,nada a declarar,debt
1239,171644,para construir,investment
1243,171639,nada a declarar,debt
1244,171638,nada a declarar,debt
1246,171636,fazer um investimento,investment
1250,171631,abri um comercio,investment
1251,171629,entrada de um imóvel,investment
1254,171625,quitação de carro e contas,debt
1258,171619,para pagar umas contas,debt
1260,171617,dívida pessoal,debt
1265,171612,investimento empresa,investment
1268,171609,pagar dividas,debt
1270,171605,imvestimento na empresa,investment
1275,171598,nada a declarar,debt
1276,171597,pagar dividas,debt
1278,171595,para concluir a reforma da casa,debt
1281,171591,5000,debt
1282,171590,nada a declarar,debt
1283,171589,investir,investment
1288,171583,pagar conserto do carro,debt
1292,171578,quitar uns débitos,debt
1296,171574,o,debt
1300,171569,diversos,investment
1301,171568,termina de pagaro carro,debt
1304,171564,para terminar de construir minha casa,investment
1306,171560,pagar algumas contas e investir na empresa,investment
1312,171548,financiar o veiculo,investment
1313,171547,para quitar empréstimo pessoal e cheque especial,investment
1320,171537,reformas em casa,investment
1321,171536,comprar um carro,debt
1322,171535,investimentos,investment
1323,171534,capital de giro para minha empresa,investment
1324,171533,pagar divida,debt
1327,171530,para compra um carro,investment
1328,171529,para quitar cartão de crédito,debt
1329,171528,cartao de credito quitação,debt
1337,171517,agregar a entrada de casa,investment
1339,171513,comprar uma moto,investment
1341,171511,capital giro,investment
1357,171486,investir em um novo negócio,investment
1361,171479,comprar o carro,debt
1362,171478,colocar um kit gás no veículo pois sou parceiro uber,investment
1364,171476,obraz,investment
1375,171459,nada a declarar,debt
1380,171454,para fazer um abrir uma loja,debt
1383,171449,refinanciar dívidas,debt
1384,171448,quitar dividas,debt
1391,171439,reformar residencia,investment
1393,171437,investir na minha loja ecomerce,investment
1395,171434,faculdade entre outros,debt
1402,171427,nada a declarar,debt
1404,171425,preciso para fazer a quitação do veiculo que se encontra em nome de outra pessoa e passar para o meu nome o debito esta entorno de r 1600000 foi feito um financiamiento de 24 meses ja foram pagas 08 e entrada de r2500000,debt
1406,171422,comprar mercadorias para a empresa que tenho,investment
1407,171421,pagar dívidas de cartão de crédito e demais despesas pessoais,debt
1414,171411,investimentos,investment
1416,171409,investimento,investment
1420,171403,para investimento,investment
1421,171402,para quitar o cartão de credito caso haja restrição por causa do cartão autorizo a quitação do mesmo e liberação do restante,debt
1422,171401,despesas diversas,debt
1429,171394,quitar cartão de crédito,debt
1430,171393,comprar uma casa,investment
1431,171392,para pagar algumas contas e reguralizar o carro e tirar meu nome da restrinçao,debt
1433,171389,refinanciar dividas,investment
1436,171386,equalizar as contas do lar pagando menos juros cheque,debt
1437,171385,nada a declarar,debt
1439,171383,reforma,debt
1441,171381,investir em uma nova ideia na empresa,investment
1447,171372,nada a declarar,debt
1448,171371,para emprestar para minha família,investment
1450,171368,giro,investment
1452,171365,liquida dívidas,debt
1453,171364,nada a declarar,debt
1454,171363,construção,investment
1464,171351,nada a declarar,debt
1465,171350,reforma da casa,investment
1466,171348,pagar dividas,debt
1471,171340,investimento,investment
1473,171337,preciso do emprestimo para investir em recursos para minha empresa,investment
1474,171336,pra pagar as contas,debt
1476,171330,investimento,investment
1479,171324,aquisição de novo imóvel,investment
1480,171323,regularizar algumas contas reforma casa,debt
1482,171321,pagar contas,debt
1488,171313,capital de giro,investment
1490,171311,investir na minha loja,investment
1494,171303,investimento empreendedor,investment
1498,171299,pagar debitos,debt
1501,171296,reforma,debt
1504,171291,pagamentos,investment
1505,171290,nada a declarar,debt
1506,171289,nada a declarar,debt
1507,171288,para quitar dividas de consignado,debt
1509,171286,contas e ajudar filha,investment
1510,171285,pagar dívida de condominio,debt
1513,171281,nada a declarar,debt
1514,171280,para o carro,debt
1519,171273,investimento no comércio,investment
1520,171271,quitar outros financiamentos mais caros,investment
1521,171270,nada a declarar,debt
1522,171269,quitação de moto,debt
1526,171264,entrar em sociedade em uma empresa,investment
1528,171262,investimento na minha empresa,investment
1531,171259,equilíbrio financeiro,investment
1542,171244,dificulades momentaneas,debt
1544,171242,comprar um carro,debt
1549,171237,pagamento de dividas com faculdade,debt
1552,171233,pagamento de contas,investment
1553,171232,investimento comercial capital de giro,investment
1559,171223,quitar dívidas,debt
1562,171220,quitar cartao de credito,debt
1563,171212,capital de giro investimento,investment
1564,171211,construção,investment
1568,171089,quitar dividas,debt
1570,171087,dívidas pessoais,debt
1572,171085,investir no veículo e pagar algumas contas pessoais,investment
1573,171084,para limpar meu nome,debt
1575,171082,o veiculo não está quitado mas o pagamento dele está em dias e tenho outro veiculo um corsa sedan ano 20092010 completo mas este está alugado e o fiat punto só tem mesmo as parcelas dele,debt
1577,171080,conclusão da construção casa propria,investment
1578,171078,mobília do novo apartamento,investment
1585,171070,nada a declarar,debt
1589,171064,para investir em um negocio proprio,investment
1592,171061,comprar uma maquina de fazer salgados tenho cnpj sou dono da taty doces e salgados,debt
1595,171057,investimento,investment
1596,171054,finalização de obra residencial,investment
1597,171053,pra comprar o carro,investment
1601,171047,quitar dividas bancarias com menor taxa de juros,debt
1602,171046,nada a declarar,debt
1603,171045,investir na casa,investment
1604,171044,pra comprar o veículo,investment
1605,171042,emprestei r 400000 de um amigo para comprar o carro e quero pagalo,debt
1610,171035,investimento na empresa,investment
1615,171027,quitar dividas,debt
1616,171025,pagar dividas e concentralas em um só emprestimo,debt
1618,171021,financiar veículo,investment
1619,171019,estou começando um empreendimento e preciso de material,investment
1622,171013,para investir e pagar algumas dividas,investment
1637,170990,quitacao de cartao de credito juros abusives e fica so com a parcela 36343 por mes do emprestimo mais nada,debt
1643,170976,nada a declarar,debt
1645,170973,nada a declarar,debt
1647,170971,investir no meu novo trabalho,investment
1649,170968,investir em um novo negócio,investment
1651,170964,nada a declarar,debt
1653,170961,diversos,investment
1655,170959,capital de giro,investment
1656,170956,nada a declarar,debt
1659,170951,comprar o veículo,investment
1664,170946,cartão de credito,investment
1665,170945,nada a declarar,debt
1669,170941,reforma do meu imovel,investment
1670,170940,pagar contas,debt
1671,170939,divida da faculdade,debt
1675,170934,esta com documento atrasado e precisa de seguro,debt
1681,170924,dar uma aliviada nas costas,debt
1683,170922,paga outras dividas,debt
1687,170918,debts_payment,debt
1689,170915,para compra o veiculo,investment
1694,170909,reorganização financeira,investment
1702,170898,nada a declarar,debt
1705,170894,conta fixas,debt
1706,170893,quitar cartão credito,investment
1712,170882,pagar algumas contas e construir na sona rural obs terra na sona rural só tem comprovante de compra e venda reconhecido firma,investment
1713,170881,compra do veículo,investment
1715,170879,diversos,investment
1720,170872,reforma de imóvel,investment
1722,170870,monta negócio,debt
1723,170869,para comprar o veiculo,investment
1726,170866,comprar uma moto,investment
1728,170864,montar negócio,debt
1729,170861,envestimento,investment
1732,170857,nada a declarar,debt
1738,170850,quitaçao,debt
1742,170846,dividas diversa,investment
1744,170842,pra obra da minha casa,debt
1745,170841,eliminar cheque especial,debt
1750,170832,para compra um terreno,investment
1751,170831,reforma de moradia,debt
1754,170825,quitar dívidas e manter plantel de vacas de leite,debt
1755,170824,pagar divida,debt
1758,170820,ampliação e reforma da casa,investment
1761,170817,pagar contas e permanecer só com o empréstimo,investment
1763,170814,quitação de dividas,debt
1766,170809,reforma de imóvel,investment
1767,170808,para comprar uma van para trabalho,investment
1770,170803,refinanciar dividas,investment
1771,170802,quita dividas,debt
1773,170799,terminar minha casa,debt
1777,170793,nada a declarar,debt
1780,170790,troca do veiculo,debt
1781,170789,ampliar meu negócio de cesta básica,debt
1784,170785,quitar dividas,debt
1785,170784,preciso para comprar mais produtos para minha empresa,investment
1793,170776,para reforma de imovel,investment
1794,170775,para financiar o veiculo,investment
1797,170772,ptreciso quitar cheque especial que me está infernizando a vida,debt
1800,170769,readequação financeira despesas extras imprevistas,debt
1801,170768,construção,investment
1802,170767,quitar dívidas e comprar máquinas para minha empresa,investment
1806,170762,construir minha casa própria,investment
1809,170758,trocar dívida de juros alto por mais baratos,debt
1812,170753,para comprar o veiculo,investment
1813,170751,para pagar dívidas,debt
1815,170749,preciso muito desse empréstimo pra poder terminar a obra no banheiro da minha casa,investment
1816,170748,para comprar uma s10 2010,investment
1818,170745,para completar o restante que falta para pagar a vista na revenda,debt
1821,170741,pagar contas em atraso,debt
1822,170740,uso pessoal,debt
1823,170739,comprar o carro,debt
1826,170731,compra de mercadorias,investment
1832,170724,comprar um carro ou uma moto,debt
1833,170723,reforma residencia,investment
1834,170722,reforma casa,investment
1835,170720,nada a declarar,debt
1843,170710,nada a declarar,debt
1844,170709,pessoa,debt
1847,170705,nada a declarar,debt
1848,170703,investimento,investment
1851,170700,p comprar este automovel,investment
1852,170698,quitar ás o4 parcelas do veiculo e dividas,debt
1854,170694,cubrir meus cartaos de credito,debt
1860,170688,pagar contas,debt
1864,170684,pagar dividas,debt
1867,170680,quita cartao de credito,debt
1872,170675,abrir um negocio,investment
1874,170673,para ampliar meu negócio,debt
1875,170671,investimentos,investment
1878,170665,para investimento no ramo cosmeticos e perfumaria,investment
1880,170663,almentar minha casa,investment
1882,170660,dívidas,debt
1890,170651,para investir em um curso de empreendedorismo,investment
1891,170649,eu ja tenho uma parte quero pagar o restante avista,debt
1895,170642,reforma da casa,investment
1896,170640,paga sirugia,debt
1899,170636,nada a declarar,debt
1904,170631,nada a declarar,debt
1907,170627,quitar dividas,debt
1908,170626,pago o véiculo em parcelas de 97203 ao mês ele foi financiado em 60 meses preciso do empréstimo para acertar a dívida de um cartão de crédito para manter meu nome limpo,debt
1914,170618,nada a declarar,debt
1917,170615,nada a declarar,debt
1920,170611,para regularizar docomentaçao e outros,debt
1923,170606,para pagar dividas,debt
1925,170603,investir na academia,investment
1929,170599,nada a declarar,debt
1930,170598,aluguel com deposito,investment
1931,170596,investimento,investment
1934,170592,investment_in_own_business,investment
1935,170591,pra vender calsinha,debt
1937,170589,comprar terreno,investment
1938,170588,pra mim,investment
1941,170585,reforma na moradia,debt
1942,170583,reforma o apartamento,investment
1944,170580,quitar dividas,debt
1953,170569,investir na minha empresa,investment
1954,170568,quitar algumas dúvidas e regularizar o nome junto às instituições obs dívida do veículo refa 05 parcelas restantes do veículo,debt
1962,170559,alavancar meu comercio,investment
1963,170558,despesas medicas,debt
1965,170556,nada a declarar,debt
1966,170555,para a trocar do carro,debt
1967,170554,quita cartão de credito,debt
1968,170553,pessoal,debt
1970,170551,capital de giro do negócio,investment
1971,170550,nada a declarar,debt
1974,170546,para envesti no meu comeceio,investment
1978,170540,investimentos,investment
1980,170538,quitar alguns compromissos,debt
1984,170534,para férias e quitar o gnv instalado no carro,investment
1986,170531,para entra como sócio,investment
1988,170529,colocar meu orçamento em dia,investment
1990,170524,nada a declarar,debt
1991,170523,comprar um carro,debt
1994,170520,comprar um carro ou uma moto pq nao tenho nenhum dos 2,debt
1997,170514,investir na minha empresa,investment
2001,170509,para comprar o carro,investment
2004,170505,quitação de dívidas,debt
2009,170499,nada a declarar,debt
2011,170497,para pagar dividas,debt
2013,170495,para pagar um restante de um carro gol ano 2000,debt
2014,170494,comprar mais um carro de trabalho e fazer uma obra,investment
2015,170493,quitar dividas imcrusivel do carro ok,investment
2019,170484,para quitar contas,debt
2023,170476,valor para acrescentar na troca de veiculo,debt
2024,170474,quitar cheque especial,investment
